project,downloads_count
django-formset,8951
django-reset-migrations,8941
django-star-ratings,8926
django-modeltrans,8917
django-rest-slack,8908
django-babel,8897
django-contract-tester,8887
django-xmlrpc,8848
django-pg-bulk-update,8848
django-jet,8836
django-check-seo,8738
django-timestampable,8711
django-dsfr,8705
django-bootstrap-breadcrumbs,8700
pretix,8655
django-import-export-extensions,8650
django-pdb,8628
django-listing,8574
django-prices-openexchangerates,8550
django-db-comments,8543
django-oscar-cch,8539
drf-haystack,8507
django-db-readonly,8492
drf-schema-adapter,8481
django-versionfield,8480
django-components-storybook,8476
django-thread,8472
django-dynamic-db-router,8459
django-cookie-law,8457
django-database-url,8446
django-restricted-sessions,8437
django-influxdb-metrics,8421
django-timeline-logger,8404
dj-utils,8401
django-secure,8396
django-polymodels,8379
django-swstags,8379
django-nativemojo,8364
django-vendor-files,8362
django-autocompletefilter,8361
django-utm-tracker,8343
django-webauthn,8339
django-data-browser,8333
django-vendor,8302
django-easy-pdf3,8292
django-sitetree,8256
django-radius,8243
django-oscar-bundles,8194
django-storage-url,8117
django-controlcenter,8071
django-bolt,8066
django-pickling,8066
django-admin-notice,8064
django-jsonfield-compat,8044
django-subdomains2,7983
django-bitly,7981
django-tex,7961
django-sniplates,7947
django-dry-rest-permissions,7911
django-email-obfuscator,7898
django-celery-email-reboot,7891
django-on-heroku,7890
django-photologue,7885
django-wildewidgets,7861
django-gm2m,7847
django-smalluuid,7833
django-google-cloud-tasks,7820
django-oauth2-provider,7801
django-migrations-ci,7776
djangoldp-account,7776
django-jquery,7754
djangomako,7745
django-boost,7732
django-ledger,7729
django-mongoengine,7713
django-darthmail,7677
django-admin-relation-links,7647
django-couch-utils,7642
django-encrypted-json-fields,7609
djangorestframework-link-header-pagination,7598
django-codemirror-widget,7571
django-inline-actions,7529
djmail,7505
django-fastdev,7467
django-pluralize-pl,7459
django-adminfilters,7434
drf-chunked-upload,7426
django-hitcount,7420
django-automated-logging,7393
django-pbx-admin,7389
django-xhtml2pdf,7381
django-contact-form,7351
django-oscar-reports,7316
django-healthchecks,7263
django-flatpickr,7247
django-columns,7234
django-pg-returning,7206
django-recaptcha2,7204
drf-simple-apikey,7195
django-basic-auth-ip-whitelist,7184
django-prices-vatlayer,7179
django-content-editor,7174
django-username-email,7154
django-modelsdoc,7152
django-scalar,7133
django-channels-jwt-auth-middleware,7112
django-admin-row-actions,7099
django-celerybeat-status,7090
django-auth-logger,6984
djsonarm,6920
djtools,6917
django-comment-migrate,6912
django-file-form,6906
django-agent-runtime,6882
django-cache-machine,6869
django-polymorphic-tree,6866
django-json-response,6864
django-splitio,6829
django-jbank,6817
django-lightweight-queue,6814
django-mysql-geventpool,6794
django-fullclean,6788
django-jalali-date,6778
django-digid-eherkenning,6768
django-ucamlookup,6746
django-geoposition-2,6746
drf-base64,6715
django-easy-logging,6710
django-dbsettings,6709
django-okta-auth,6704
django-bootstrap-daterangepicker,6690
django-db-queue,6668
django-taggit-serializer,6666
django-autologin,6665
django-modal-actions,6641
dj-url-filter,6636
django-codemod,6615
django-avishan,6613
django-partial-date,6609
django-mozilla-product-details,6606
djangocms-installer,6604
django-easy-health-check,6601
django-getpaid,6589
django-froala-editor,6585
django-qsstats-magic,6578
django-icons,6550
django-adminutils,6530
django-cuser,6521
django-elasticache,6520
wagtail-draftail-plugins,6517
django-audit-log-middleware,6513
django-allianceutils,6511
django-vectortiles,6511
wagtail-transfer,6510
djangocms-transfer,6501
django-report-builder,6495
djantic,6493
django-readers,6487
django-project-base,6478
django-datetime-widget,6477
django-request-profiler,6459
django-after-response,6419
django-8e9e15-v1,6392
django-vinaigrette,6368
django-bridger,6364
django-plausible-proxy,6354
django-fakeredis,6347
django-adminrestrict,6336
django-elasticsearch-debug-toolbar,6333
django-postgres-metrics,6317
django-graphql-auth,6315
django-messages-extends,6314
django-db-connection-retrier,6303
django-restframework,6301
django-qrcode,6300
django-reusable,6290
djangocms-apphook-setup,6288
django-csvpermissions,6282
django-context-decorator,6273
django-date-extensions,6259
django-upgrade-check,6250
django-datawatch,6248
django-devdata,6242
drf-api-doc-generator,6239
django-auto-one-to-one,6230
django-fontawesome-5,6219
django-cache-toolbox,6217
drf-serializer-cache,6213
django-flex-report,6211
djangodjangodjango,6199
django4-chunked-upload,6181
django-large-image,6179
django-humanize,6172
django-xicon,6155
django-bulbs,6155
django-prefetch,6152
django-inline-static,6152
django-formset-js,6144
django-admin-flexlist,6138
django-handyhelpers,6129
django-uuid-upload-path,6113
django-spa,6103
django-admin-list-filters,6102
django-file-resubmit,6102
django-unicom,6093
django-google-spanner,6084
wagtail-modelchooser,6076
django-pictures,6075
djangofmt,6058
django-http-compression,6050
django-daterange-filter,6024
django-csp-helpers,5996
django-enumfield-ng,5993
django-adminlte2,5986
django-eb-sqs-worker,5976
djmicrosip-inventarios,5974
django-select2-admin-filters,5960
django-tinymce4-lite,5949
django-eav2,5918
django-clickhouse,5876
django-force-logout,5875
django-sendfile,5873
django-spruce,5867
django-listable,5867
django-svg-image-form-field,5860
django-addanother,5860
django-auth-ldap3-ad,5857
dj-settings,5851
django-s3-file-field,5844
django-lti-provider,5824
django-rest-captcha,5824
django-sendsms,5821
django-filebased-email-backend-ng,5819
django-idempotency-key,5817
django-rest-authemail,5809
django-whatsapp-api-wrapper,5805
django-ansible-base,5796
django-postgrespool2,5778
django-utils2,5760
django-werkzeug-debugger-runserver,5758
django-pgpubsub,5755
django-editorjs-fields,5755
django-jutil,5752
django-pure-pagination,5747
django-oscar-wfrs,5732
django-require-login,5728
django-iprestrict-redux,5720
