date,downloads
2023-06-30,485644
2023-06-29,481848
2023-06-28,507859
2023-06-27,446041
2023-06-26,214424
2023-06-25,76773
2023-06-24,145528
2023-06-23,275843
2023-06-22,303250
2023-06-21,333752
2023-06-20,267062
2023-06-19,211306
2023-06-18,81011
2023-06-17,156132
2023-06-16,282084
2023-06-15,302491
2023-06-14,303739
2023-06-13,299090
2023-06-12,202945
2023-06-11,78522
2023-06-10,149970
2023-06-09,273508
2023-06-08,294309
2023-06-07,309909
2023-06-06,307204
2023-06-05,206975
2023-06-04,81970
2023-06-03,164036
2023-06-02,285065
2023-06-01,316937
2023-05-31,303673
2023-05-30,250974
2023-05-29,194499
2023-05-28,86129
2023-05-27,144184
2023-05-26,278654
2023-05-25,320577
2023-05-24,301495
2023-05-23,297467
2023-05-22,232938
2023-05-21,89304
2023-05-20,158387
2023-05-19,269951
2023-05-18,277686
2023-05-17,302575
2023-05-16,308333
2023-05-15,206642
2023-05-14,78957
2023-05-13,151152
2023-05-12,283579
2023-05-11,289886
2023-05-10,292015
2023-05-09,285781
2023-05-08,198198
2023-05-07,82776
2023-05-06,157754
2023-05-05,254194
2023-05-04,270237
2023-05-03,284173
2023-05-02,258235
2023-05-01,138041
2023-04-30,73911
2023-04-29,146966
2023-04-28,273135
2023-04-27,295575
2023-04-26,312618
2023-04-25,339431
2023-04-24,206804
2023-04-23,88963
2023-04-22,164144
2023-04-21,294838
2023-04-20,320409
2023-04-19,313459
2023-04-18,290052
2023-04-17,193635
2023-04-16,77174
2023-04-15,155599
2023-04-14,287652
2023-04-13,319773
2023-04-12,346951
2023-04-11,351507
2023-04-10,172489
2023-04-09,85090
2023-04-08,132228
2023-04-07,238943
2023-04-06,330476
2023-04-05,360094
2023-04-04,313521
2023-04-03,211091
2023-04-02,80876
2023-04-01,172928
2023-03-31,295866
2023-03-30,310958
2023-03-29,305663
2023-03-28,339257
2023-03-27,212316
2023-03-26,91865
2023-03-25,173948
2023-03-24,302063
2023-03-23,322440
2023-03-22,328110
2023-03-21,330146
2023-03-20,323811
2023-03-19,99082
2023-03-18,261156
2023-03-17,422211
2023-03-16,353808
2023-03-15,335340
2023-03-14,330758
2023-03-13,208664
2023-03-12,140341
2023-03-11,230692
2023-03-10,280461
2023-03-09,281801
2023-03-08,241018
2023-03-07,271442
2023-03-06,197223
2023-03-05,95269
2023-03-04,265985
2023-03-03,277464
2023-03-02,286614
2023-03-01,265064
2023-02-28,279001
2023-02-27,184315
2023-02-26,89121
2023-02-25,268708
2023-02-24,288388
2023-02-23,284179
2023-02-22,275570
2023-02-21,245858
2023-02-20,193010
2023-02-19,118354
2023-02-18,255076
2023-02-17,272348
2023-02-16,295632
2023-02-15,304706
2023-02-14,308223
2023-02-13,205488
2023-02-12,89475
2023-02-11,203091
2023-02-10,288986
2023-02-09,335875
2023-02-08,317161
2023-02-07,317650
2023-02-06,203223
2023-02-05,83934
2023-02-04,174029
2023-02-03,328116
2023-02-02,324635
2023-02-01,327824
2023-01-31,347046
2023-01-30,217039
2023-01-29,89223
2023-01-28,176511
2023-01-27,309403
2023-01-26,324585
2023-01-25,358752
2023-01-24,342686
2023-01-23,206457
2023-01-22,85712
2023-01-21,197801
2023-01-20,352993
2023-01-19,365215
2023-01-18,323151
2023-01-17,242479
2023-01-16,179371
2023-01-15,80418
2023-01-14,151946
2023-01-13,272720
2023-01-12,294593
2023-01-11,314307
2023-01-10,314332
2023-01-09,182057
2023-01-08,79103
2023-01-07,167134
2023-01-06,260491
2023-01-05,287612
2023-01-04,287790
2023-01-03,183918
2023-01-02,128414
2023-01-01,72116
2022-12-31,98793
2022-12-30,162158
2022-12-29,193868
2022-12-28,187603
2022-12-27,158702
2022-12-26,132516
2022-12-25,72184
2022-12-24,114183
2022-12-23,229108
2022-12-22,262488
2022-12-21,278770
2022-12-20,275941
2022-12-19,183198
2022-12-18,79097
2022-12-17,220743
2022-12-16,291189
2022-12-15,310790
2022-12-14,310610
2022-12-13,307397
2022-12-12,190107
2022-12-11,81215
2022-12-10,190192
2022-12-09,304949
2022-12-08,322888
2022-12-07,308647
2022-12-06,316968
2022-12-05,205237
2022-12-04,89739
2022-12-03,276983
2022-12-02,276522
2022-12-01,267526
2022-11-30,288875
2022-11-29,289712
2022-11-28,188396
2022-11-27,80972
2022-11-26,122753
2022-11-25,242160
2022-11-24,279653
2022-11-23,272557
2022-11-22,291046
2022-11-21,199577
2022-11-20,79856
2022-11-19,244682
2022-11-18,287712
2022-11-17,291525
2022-11-16,294749
2022-11-15,303179
2022-11-14,198022
2022-11-13,81031
2022-11-12,226871
2022-11-11,296195
2022-11-10,309514
2022-11-09,293155
2022-11-08,315315
2022-11-07,184765
2022-11-06,83466
2022-11-05,182664
2022-11-04,292140
2022-11-03,281318
2022-11-02,291374
2022-11-01,292484
2022-10-31,181638
2022-10-30,81592
2022-10-29,256107
2022-10-28,290960
2022-10-27,276039
2022-10-26,305373
2022-10-25,284886
2022-10-24,178111
2022-10-23,80714
2022-10-22,193606
2022-10-21,298627
2022-10-20,282526
2022-10-19,301302
2022-10-18,303576
2022-10-17,196312
2022-10-16,134094
2022-10-15,283987
2022-10-14,274554
2022-10-13,161349
2022-10-12,304820
2022-10-11,278325
2022-10-10,179241
2022-10-09,83498
2022-10-08,153193
2022-10-07,288585
2022-10-06,291744
2022-10-05,291903
2022-10-04,297527
2022-10-03,186068
2022-10-02,106372
2022-10-01,138354
2022-09-30,278349
2022-09-29,307780
2022-09-28,283727
2022-09-27,288296
2022-09-26,179110
2022-09-25,78276
2022-09-24,156156
2022-09-23,265896
2022-09-22,285141
2022-09-21,308531
2022-09-20,303680
2022-09-19,175702
2022-09-18,82877
2022-09-17,156966
2022-09-16,280493
2022-09-15,317022
2022-09-14,311202
2022-09-13,304096
