pre_release,version,downloads_count
5.1,3.2.18,184316
5.1,3.2.17,42931
5.1,3.2.16,190751
5.1,3.2.15,323327
5.1,3.2.14,109295
5.1,3.2.13,159521
5.1,3.2.12,168106
5.1,3.2.11,61297
5.1,3.2.10,53082
5.1,3.2.1,13058
5.1,3.2,418395
5.1,3.1rc1,547
5.1,3.1b1,348
5.1,3.1a1,552
5.1,3.1.9,3330
5.1,3.1.8,29413
5.1,3.1.7,96064
5.1,3.1.6,96313
5.1,3.1.5,114398
5.1,3.1.4,33308
5.1,3.1.3,79522
5.1,3.1.2,33441
5.1,3.1.14,208864
5.1,3.1.13,33814
5.1,3.1.12,38870
5.1,3.1.11,10397
5.1,3.1.10,5387
5.1,3.1.1,52082
5.1,3.1,78105
5.1,3.0rc1,584
5.1,3.0b1,351
5.1,3.0a1,935
5.1,3.0.9,68203
5.1,3.0.8,209442
5.1,3.0.7,35667
5.1,3.0.6,28318
5.1,3.0.5,50668
5.1,3.0.4,50617
5.1,3.0.3,39191
5.1,3.0.2,26372
5.1,3.0.14,53295
5.1,3.0.13,3074
5.1,3.0.12,2615
5.1,3.0.11,6910
5.1,3.0.10,8971
5.1,3.0.1,7678
5.1,3.0,61814
5.1,2.2rc1,675
5.1,2.2b1,348
5.1,2.2a1,319
5.1,2.2.9,11655
5.1,2.2.8,23493
5.1,2.2.7,56880
5.1,2.2.6,20294
5.1,2.2.5,20891
5.1,2.2.4,39386
5.1,2.2.3,21117
5.1,2.2.28,593764
5.1,2.2.27,15057
5.1,2.2.26,12668
5.1,2.2.25,10138
5.1,2.2.24,71774
5.1,2.2.23,4463
5.1,2.2.22,1544
5.1,2.2.21,3225
5.1,2.2.20,12105
5.1,2.2.2,22245
5.1,2.2.19,21739
5.1,2.2.18,5429
5.1,2.2.17,32858
5.1,2.2.16,140429
5.1,2.2.15,7237
5.1,2.2.14,22643
5.1,2.2.13,16073
5.1,2.2.12,18696
5.1,2.2.11,8280
5.1,2.2.10,17749
5.1,2.2.1,37757
5.1,2.2,88707
5.1,2.1rc1,150
5.1,2.1b1,177
5.1,2.1a1,182
5.1,2.1.9,1627
5.1,2.1.8,3568
5.1,2.1.7,36404
5.1,2.1.5,16875
5.1,2.1.4,10869
5.1,2.1.3,7844
5.1,2.1.2,8147
5.1,2.1.15,165072
5.1,2.1.14,1009
5.1,2.1.13,2699
5.1,2.1.12,885
5.1,2.1.11,5796
5.1,2.1.10,2149
5.1,2.1.1,20653
5.1,2.1,20061
5.1,2.0rc1,169
5.1,2.0b1,226
5.1,2.0a1,189
5.1,2.0.9,2161
5.1,2.0.8,3895
5.1,2.0.7,7027
5.1,2.0.6,17379
5.1,2.0.5,5365
5.1,2.0.4,5266
5.1,2.0.3,12964
5.1,2.0.2,6519
5.1,2.0.13,22973
5.1,2.0.12,9598
5.1,2.0.10,1590
5.1,2.0.1,8524
5.1,2.0,491107
5.1,1.9rc2,159
5.1,1.9rc1,162
5.1,1.9b1,184
5.1,1.9a1,164
5.1,1.9.9,1830
5.1,1.9.8,1905
5.1,1.9.7,5041
5.1,1.9.6,16954
5.1,1.9.5,6366
5.1,1.9.4,4434
5.1,1.9.3,966
5.1,1.9.2,2514
5.1,1.9.13,11487
5.1,1.9.12,2738
5.1,1.9.11,918
5.1,1.9.10,1573
5.1,1.9.1,4483
5.1,1.9,6520
5.1,1.8c1,195
5.1,1.8b2,161
5.1,1.8b1,161
5.1,1.8a1,204
5.1,1.8.9,1285
5.1,1.8.8,1498
5.1,1.8.7,4683
5.1,1.8.6,5001
5.1,1.8.5,3117
5.1,1.8.4,20901
5.1,1.8.3,11269
5.1,1.8.2,8137
5.1,1.8.19,26189
5.1,1.8.18,3173
5.1,1.8.17,1930
5.1,1.8.16,50729
5.1,1.8.15,17536
5.1,1.8.14,3828
5.1,1.8.13,1450
5.1,1.8.12,3089
5.1,1.8.11,2726
5.1,1.8.10,837
5.1,1.8.1,1539
5.1,1.8,27477
5.1,1.7.9,830
5.1,1.7.8,913
5.1,1.7.7,137933
5.1,1.7.6,1756
5.1,1.7.5,860
5.1,1.7.4,3779
5.1,1.7.3,1279
5.1,1.7.2,934
5.1,1.7.11,10515
5.1,1.7.10,3446
5.1,1.7.1,10951
5.1,1.7,7271
5.1,1.6.9,509
5.1,1.6.8,1269
5.1,1.6.7,2606
5.1,1.6.6,2134
5.1,1.6.5,7817
5.1,1.6.4,715
5.1,1.6.3,827
5.1,1.6.2,23543
5.1,1.6.11,16197
5.1,1.6.10,2000
5.1,1.6.1,42805
5.1,1.6,6172
5.1,1.5.9,412
5.1,1.5.8,937
5.1,1.5.7,471
5.1,1.5.6,246
5.1,1.5.5,2247
5.1,1.5.4,2968
5.1,1.5.3,543
5.1,1.5.2,731
5.1,1.5.12,4404
5.1,1.5.11,601
5.1,1.5.10,286
5.1,1.5.1,7018
5.1,1.5,2660
5.1,1.4.9,255
5.1,1.4.8,314
5.1,1.4.7,271
5.1,1.4.6,280
5.1,1.4.5,33330
5.1,1.4.4,254
5.1,1.4.3,2342
5.1,1.4.22,3027
5.1,1.4.21,429
5.1,1.4.20,312
5.1,1.4.2,1027
5.1,1.4.19,427
5.1,1.4.18,550
5.1,1.4.17,295
5.1,1.4.16,730
5.1,1.4.15,531
5.1,1.4.14,310
5.1,1.4.13,451
5.1,1.4.12,241
5.1,1.4.11,1462
5.1,1.4.10,405
5.1,1.4.1,2341
5.1,1.4,4446
5.1,1.3.7,1370
5.1,1.3.6,273
5.1,1.3.5,244
5.1,1.3.4,256
5.1,1.3.3,275
5.1,1.3.2,386
5.1,1.3.1,2284
5.1,1.3,2302
5.1,1.2.7,628
5.1,1.2.6,268
5.1,1.2.5,1025
5.1,1.2.4,537
5.1,1.2.3,937
5.1,1.2.2,257
5.1,1.2.1,490
